"107年04月11日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","3.77","105","21.48","1.20","106/4",
"1102","亞泥","4.08","106","18.04","0.78","106/4",
"1103","嘉泥","4.22","106","8.53","0.44","106/4",
"1104","環泥","4.95","106","10.28","0.85","106/4",
"1108","幸福","7.82","105","-","0.70","106/4",
"1109","信大","0.74","106","9.93","0.86","106/4",
"1110","東泥","0.72","106","126.36","0.93","106/4",
"1201","味全","0.00","105","18.89","2.42","106/4",
"1203","味王","5.00","106","13.98","1.36","106/4",
"1210","大成","4.31","105","10.64","1.49","106/4",
"1213","大飲","0.00","105","377.50","1.23","106/4",
"1215","卜蜂","4.72","105","11.87","2.55","106/4",
"1216","統一","7.78","106","10.09","3.35","106/4",
"1217","愛之味","0.00","105","28.33","0.70","106/4",
"1218","泰山","2.31","106","18.60","1.55","106/4",
"1219","福壽","2.14","105","42.39","1.54","106/4",
"1220","台榮","3.52","106","25.80","0.91","106/4",
"1225","福懋油","1.70","106","65.04","5.03","106/4",
"1227","佳格","2.89","106","28.91","4.24","106/4",
"1229","聯華","7.34","106","12.27","1.45","106/4",
"1231","聯華食","5.17","106","13.70","1.79","106/4",
"1232","大統益","5.29","106","18.49","4.01","106/4",
"1233","天仁","5.94","106","19.51","2.29","106/4",
"1234","黑松","4.81","106","23.11","0.71","106/4",
"1235","興泰","2.91","106","6.57","0.48","106/4",
"1236","宏亞","0.57","106","353.00","1.09","106/4",
"1256","鮮活果汁-KY","3.10","106","17.33","3.33","106/4",
"1262","綠悅-KY","0.74","106","8.60","0.61","106/4",
"1301","台塑","5.40","106","13.60","1.95","106/4",
"1303","南亞","6.08","106","12.21","1.87","106/4",
"1304","台聚","3.40","106","13.87","0.85","106/4",
"1305","華夏","5.56","106","12.56","2.04","106/4",
"1307","三芳","5.30","106","14.14","1.52","106/4",
"1308","亞聚","4.96","106","16.65","0.96","106/4",
"1309","台達化","0.00","105","7.94","1.02","106/4",
"1310","台苯","7.41","106","10.80","1.56","106/4",
"1312","國喬","3.31","106","8.47","1.35","106/4",
"1313","聯成","9.05","106","9.90","1.09","106/4",
"1314","中石化","0.00","105","5.71","0.56","106/4",
"1315","達新","4.08","106","29.94","0.70","106/4",
"1316","上曜","0.00","105","8.04","1.54","106/4",
"1319","東陽","3.73","106","13.86","1.59","106/4",
"1321","大洋","0.00","105","-","1.25","106/4",
"1323","永裕","3.74","106","12.47","1.73","106/4",
"1324","地球","3.04","105","16.44","0.96","106/4",
"1325","恆大","1.95","106","35.20","0.90","106/4",
"1326","台化","6.28","106","11.95","1.82","106/4",
"1337","再生-KY","0.68","105","15.22","0.28","106/4",
"1338","廣華-KY","4.69","106","11.51","1.37","106/4",
"1339","昭輝","5.04","106","10.66","0.93","106/4",
"1340","勝悅-KY","4.85","105","6.86","0.87","106/4",
"1402","遠東新","4.44","106","17.88","0.74","106/4",
"1409","新纖","5.01","106","16.63","0.59","106/4",
"1410","南染","5.91","106","18.52","1.42","106/4",
"1413","宏洲","0.00","105","15.23","1.98","106/4",
"1414","東和","2.51","105","19.44","0.56","106/4",
"1416","廣豐","6.59","106","15.17","0.80","106/4",
"1417","嘉裕","0.00","105","-","0.50","106/4",
"1418","東華","0.00","105","-","5.11","106/4",
"1419","新紡","7.77","106","11.57","1.56","106/4",
"1423","利華","0.00","105","39.44","0.70","106/4",
"1432","大魯閣","0.00","105","-","0.98","106/4",
"1434","福懋","5.86","106","12.76","0.79","106/4",
"1435","中福","0.00","105","578.00","0.77","106/4",
"1436","華友聯","7.50","106","12.70","1.24","106/4",
"1437","勤益控","5.46","106","11.44","0.66","106/4",
"1438","裕豐","0.00","105","-","1.37","106/4",
"1439","中和","1.40","105","-","1.72","106/4",
"1440","南紡","2.68","106","29.89","0.89","106/4",
"1441","大東","0.00","105","-","1.83","106/4",
"1442","名軒","9.00","106","10.70","1.07","106/4",
"1443","立益","0.00","105","-","0.89","106/4",
"1444","力麗","0.00","105","-","1.00","106/4",
"1445","大宇","2.38","106","93.56","0.63","106/4",
"1446","宏和","1.32","106","-","1.86","106/4",
"1447","力鵬","0.00","105","-","0.68","106/4",
"1449","佳和","0.00","105","12.34","0.97","106/4",
"1451","年興","5.96","106","17.71","0.69","106/4",
"1452","宏益","6.54","106","13.13","1.15","106/4",
"1453","大將","0.00","105","-","0.93","106/4",
"1454","台富","2.37","106","60.36","0.70","106/4",
"1455","集盛","3.79","106","17.88","0.83","106/4",
"1456","怡華","0.00","105","23.90","0.78","106/4",
"1457","宜進","4.90","106","5.56","0.86","106/4",
"1459","聯發","1.07","106","31.20","0.86","106/4",
"1460","宏遠","1.53","106","27.87","1.23","106/4",
"1463","強盛","12.77","106","6.75","1.53","106/4",
"1464","得力","8.56","106","23.15","1.73","106/4",
"1465","偉全","2.68","106","59.80","0.94","106/4",
"1466","聚隆","0.00","105","-","0.72","106/4",
"1467","南緯","0.00","105","-","1.24","106/4",
"1468","昶和","0.00","105","-","1.61","106/4",
"1469","理隆","0.00","105","-","1.01","106/4",
"1470","大統染","2.82","106","36.12","1.60","106/4",
"1471","首利","0.00","105","-","0.81","106/4",
"1472","三洋紡","0.00","105","-","3.23","106/4",
"1473","台南","2.12","106","36.88","0.91","106/4",
"1474","弘裕","5.04","106","14.17","0.82","106/4",
"1475","本盟","0.00","105","-","4.35","106/4",
"1476","儒鴻","2.52","106","33.90","6.86","106/4",
"1477","聚陽","4.35","106","22.48","3.44","106/4",
"1503","士電","3.12","106","16.35","0.99","106/4",
"1504","東元","3.47","106","15.87","0.95","106/4",
"1506","正道","0.00","105","-","2.10","106/4",
"1507","永大","3.74","106","19.38","1.89","106/4",
"1512","瑞利","0.00","105","-","3.31","106/4",
"1513","中興電","4.29","106","19.58","1.32","106/4",
"1514","亞力","2.79","106","30.95","1.33","106/4",
"1515","力山","2.59","106","31.11","3.44","106/4",
"1516","川飛","2.59","106","34.45","1.64","106/4",
"1517","利奇","1.88","105","-","0.75","106/4",
"1519","華城","1.47","106","75.56","2.28","106/4",
"1521","大億","6.40","106","12.40","3.20","106/4",
"1522","堤維西","5.02","106","15.05","1.58","106/4",
"1524","耿鼎","4.21","106","11.63","0.89","106/4",
"1525","江申","2.79","106","11.66","1.62","106/4",
"1526","日馳","1.60","106","23.10","4.12","106/4",
"1527","鑽全","7.87","105","35.20","2.41","106/4",
"1528","恩德","3.00","106","30.27","1.28","106/4",
"1529","樂士","0.00","105","37.50","3.44","106/4",
"1530","亞崴","3.73","106","18.31","1.17","106/4",
"1531","高林股","3.51","106","26.82","1.09","106/4",
"1532","勤美","5.05","106","18.80","0.98","106/4",
"1533","車王電","0.79","106","32.87","1.65","106/4",
"1535","中宇","2.69","106","30.73","1.87","106/4",
"1536","和大","2.90","106","27.44","5.03","106/4",
"1537","廣隆","6.51","106","13.25","3.29","106/4",
"1538","正峰新","0.00","105","-","1.07","106/4",
"1539","巨庭","5.63","106","15.17","1.05","106/4",
"1540","喬福","3.83","106","28.98","0.98","106/4",
"1541","錩泰","3.66","106","23.95","2.82","106/4",
"1558","伸興","6.59","106","14.86","1.78","106/4",
"1560","中砂","4.47","106","15.06","2.72","106/4",
"1568","倉佑","2.61","106","16.48","1.99","106/4",
"1582","信錦","7.58","106","12.52","1.82","106/4",
"1583","程泰","3.89","106","18.69","1.73","106/4",
"1589","永冠-KY","1.57","106","41.97","1.21","106/4",
"1590","亞德客-KY","1.29","106","32.82","6.79","106/4",
"1592","英瑞-KY","7.02","105","11.40","1.00","106/4",
"1598","岱宇","1.26","106","-","1.99","106/4",
"1603","華電","1.85","105","15.25","0.85","106/4",
"1604","聲寶","1.47","106","20.07","0.96","106/4",
"1605","華新","5.03","106","10.10","0.94","106/4",
"1608","華榮","5.82","106","12.07","0.74","106/4",
"1609","大亞","0.00","105","20.30","1.41","106/4",
"1611","中電","7.69","106","8.39","1.05","106/4",
"1612","宏泰","4.07","106","18.92","0.83","106/4",
"1614","三洋電","2.97","106","28.78","1.20","106/4",
"1615","大山","4.04","105","14.16","1.30","106/4",
"1616","億泰","0.00","105","-","0.76","106/4",
"1617","榮星","4.12","106","18.19","1.27","106/4",
"1618","合機","2.90","105","29.57","0.61","106/4",
"1626","艾美特-KY","0.42","106","788.33","1.12","106/4",
"1701","中化","2.96","106","19.33","1.08","106/4",
